City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
171,Bethel,US,41.3712,-73.414,71.65,82,0,4.61,clear sky
172,Cabo San Lucas,MX,22.8909,-109.9124,82.62,65,59,8.39,broken clouds
173,Gat,IL,31.61,34.7642,80.78,100,48,7.45,scattered clouds
174,Mbigou,GA,-1.9005,11.906,63.95,97,37,1.83,scattered clouds
175,Port Blair,IN,11.6667,92.75,84.24,84,100,9.22,moderate rain
176,Souillac,MU,-20.5167,57.5167,73.78,73,40,12.66,scattered clouds
177,Lavrentiya,RU,65.5833,-171.0,49.6,70,96,6.33,overcast clouds
178,Coihaique,CL,-45.5752,-72.0662,31.95,74,100,2.3,overcast clouds
179,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,77.59,53,0,13.42,clear sky
180,Hervey Bay,AU,-25.2986,152.8535,64.33,70,7,17.65,clear sky
181,Turukhansk,RU,65.8167,87.9833,65.66,42,36,7.0,scattered clouds
182,Avera,US,33.194,-82.5271,73.45,94,100,2.53,overcast clouds
183,Masumbwe,TZ,-3.6333,32.1833,69.01,57,50,9.08,scattered clouds
184,Ostrovnoy,RU,68.0531,39.5131,68.99,59,100,12.17,overcast clouds
185,Luena,AO,-11.7833,19.9167,60.08,45,1,8.77,clear sky
186,Thessalon,CA,46.2501,-83.5666,50.29,68,0,2.68,clear sky
187,Rio Gallegos,AR,-51.6226,-69.2181,19.45,93,20,4.61,fog
188,Constitucion,CL,-35.3333,-72.4167,45.16,87,100,5.19,light rain
189,Victoria,HK,22.2855,114.1577,95.05,85,98,5.01,overcast clouds
190,Upernavik,GL,72.7868,-56.1549,41.11,75,0,6.33,clear sky
191,Bluff,NZ,-46.6,168.3333,42.8,71,82,12.64,broken clouds
192,Lapua,FI,62.9693,23.0088,59.68,70,100,8.88,overcast clouds
193,Abha,SA,18.2164,42.5053,78.62,38,0,8.05,clear sky
194,Nizhneudinsk,RU,54.9076,99.0276,61.23,67,99,4.76,light rain
195,Jingdezhen,CN,29.2947,117.2079,97.9,47,100,6.98,overcast clouds
196,Baruun-Urt,MN,46.6806,113.2792,82.02,29,98,3.24,overcast clouds
197,Yellowknife,CA,62.456,-114.3525,61.32,77,20,6.91,few clouds
198,Katobu,ID,-4.9408,122.5276,78.46,86,100,4.21,overcast clouds
199,Airai,TL,-8.9266,125.4092,66.54,62,86,3.8,overcast clouds
200,Mapiripan,CO,2.8892,-72.1256,70.79,98,98,2.77,overcast clouds
201,Nouadhibou,MR,20.931,-17.0347,67.98,88,7,14.97,clear sky
202,Bathsheba,BB,13.2167,-59.5167,83.01,91,40,20.71,scattered clouds
203,Omboue,GA,-1.5746,9.2618,73.08,78,0,5.1,clear sky
204,Praia Da Vitoria,PT,38.7333,-27.0667,69.76,94,75,16.62,broken clouds
205,Buala,SB,-8.145,159.5921,80.46,78,98,6.13,light rain
206,Chake Chake,TZ,-5.2459,39.7666,77.07,78,80,13.4,light rain
207,Wanning,CN,18.8003,110.3967,88.3,71,83,9.48,broken clouds
208,Mancora,PE,-4.1078,-81.0475,68.36,76,11,2.89,few clouds
209,Ayagoz,KZ,47.9714,80.4392,83.39,26,10,8.41,clear sky
210,Auki,SB,-8.7676,160.7034,80.85,75,79,4.05,broken clouds
211,Kavieng,PG,-2.5744,150.7967,78.64,84,100,10.69,moderate rain
212,Ondangwa,NA,-17.9167,15.95,57.09,37,0,14.18,clear sky
213,Wenling,CN,28.3669,121.36,85.48,75,100,10.47,overcast clouds
214,Owando,CG,-0.4819,15.8999,79.65,63,52,5.88,broken clouds
215,Harper,LR,4.375,-7.7169,74.75,87,100,8.46,light rain
216,Bengkulu,ID,-3.8004,102.2655,81.93,77,81,5.48,broken clouds
217,San Roque,ES,36.2107,-5.3842,74.23,69,0,12.66,clear sky
218,Linxia,CN,35.6003,103.2064,63.72,90,100,4.16,overcast clouds
219,Kayerkan,RU,69.3497,87.7602,64.53,48,36,6.38,scattered clouds
