City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
40,Pecos,US,2022-07-12 07:30:07,31.4229,-103.4932,89.31,21,0,5.75
41,New Norfolk,AU,2022-07-12 07:31:44,-42.7826,147.0587,49.5,84,93,1.99
42,Santa Rosa,PH,2022-07-12 07:31:45,14.3122,121.1114,84.18,89,98,3.85
43,Kapaa,US,2022-07-12 07:31:45,22.0752,-159.319,78.78,83,75,17.27
44,Ribeira Grande,PT,2022-07-12 07:31:46,38.5167,-28.7,64.8,88,20,3.44
45,Sorland,NO,2022-07-12 07:31:46,67.667,12.6934,55.26,88,100,5.75
46,Seoul,KR,2022-07-12 07:31:00,37.5683,126.9778,85.6,66,100,3.44
47,Vicuna,CL,2022-07-12 07:32:47,-30.0319,-70.7081,42.53,21,0,7.63
48,Burnie,AU,2022-07-12 07:32:47,-41.0667,145.9167,53.92,72,48,7.78
49,Kelme,LT,2022-07-12 07:32:48,55.6339,22.9342,60.82,87,100,18.92
50,Port Alfred,ZA,2022-07-12 07:32:48,-33.5906,26.891,57.18,82,1,1.01
51,Eureka,US,2022-07-12 07:32:49,40.8021,-124.1637,66.67,85,3,3.4
52,Saint-Augustin,CA,2022-07-12 07:32:49,51.226,-58.6502,53.02,98,100,3.2
53,Hilo,US,2022-07-12 07:31:38,19.7297,-155.09,76.73,79,100,6.91
54,Kavieng,PG,2022-07-12 07:32:50,-2.5744,150.7967,83.73,73,100,14.25
55,Nikolskoye,RU,2022-07-12 07:32:50,59.7035,30.7861,76.87,63,64,8.68
56,Pizarro,CO,2022-07-12 07:32:50,4.9533,-77.366,75.87,91,100,5.32
57,Nanaimo,CA,2022-07-12 07:30:53,49.1663,-123.936,71.37,83,0,3.44
58,Pierre,US,2022-07-12 07:32:51,44.3683,-100.351,66.27,80,0,5.99
59,Bay City,US,2022-07-12 07:32:51,43.5945,-83.8889,66.52,93,0,9.22
60,Atuona,PF,2022-07-12 07:32:52,-9.8,-139.0333,77.74,75,10,16.33
61,Moussoro,TD,2022-07-12 07:32:52,13.6408,16.4901,91.99,41,76,14.38
62,Teknaf,BD,2022-07-12 07:32:53,20.8624,92.3058,81.82,86,100,13.82
63,Butaritari,KI,2022-07-12 07:32:53,3.0707,172.7902,81.5,81,97,14.72
64,Torbay,CA,2022-07-12 07:32:53,47.6666,-52.7314,60.28,63,40,23.02
65,Okmulgee,US,2022-07-12 07:32:54,35.6234,-95.9605,79.0,60,0,3.94
66,Khani,GE,2022-07-12 07:32:54,41.9563,42.9566,67.57,86,97,3.65
67,Sao Joao Da Barra,BR,2022-07-12 07:32:55,-21.6403,-41.0511,69.12,90,20,13.27
68,Castro,BR,2022-07-12 07:32:55,-24.7911,-50.0119,62.98,54,13,12.95
69,Finschhafen,PG,2022-07-12 07:32:55,-6.6024,147.8681,80.96,78,2,6.69
70,Aberystwyth,GB,2022-07-12 07:32:56,52.4155,-4.0829,67.89,80,100,6.51
71,Balkhash,KZ,2022-07-12 07:32:56,46.844,74.9804,88.41,23,40,17.9
72,Punta Arenas,CL,2022-07-12 07:30:15,-53.15,-70.9167,33.12,80,100,4.36
73,Rikitea,PF,2022-07-12 07:32:57,-23.1203,-134.9692,74.53,75,0,14.32
74,Santa Vitoria Do Palmar,BR,2022-07-12 07:32:57,-33.5189,-53.3681,45.66,88,100,14.56
75,Yellowknife,CA,2022-07-12 07:32:16,62.456,-114.3525,61.32,88,75,5.75
76,Hobart,AU,2022-07-12 07:32:15,-42.8794,147.3294,49.86,85,75,10.36
77,Oranjemund,NA,2022-07-12 07:32:58,-28.55,16.4333,56.3,66,1,7.74
78,Gladstone,AU,2022-07-12 07:31:21,-23.85,151.25,62.53,82,100,5.75
79,Mataura,NZ,2022-07-12 07:32:59,-46.1927,168.8643,42.48,97,100,8.9
80,Barrow,US,2022-07-12 07:32:59,71.2906,-156.7887,35.62,93,100,11.5
81,Lethem,GY,2022-07-12 07:32:59,3.3803,-59.7968,73.09,93,35,5.68
82,Hasaki,JP,2022-07-12 07:33:00,35.7333,140.8333,82.29,87,95,8.01
83,Camacha,PT,2022-07-12 07:33:00,33.0833,-16.3333,65.62,68,75,12.66
84,Koulamoutou,GA,2022-07-12 07:33:00,-1.1303,12.4736,68.38,54,30,2.51
85,Klaksvik,FO,2022-07-12 07:33:01,62.2266,-6.589,52.72,92,100,41.38
86,Tarauaca,BR,2022-07-12 07:33:01,-8.1614,-70.7656,71.24,92,20,2.66
87,Hobyo,SO,2022-07-12 07:33:02,5.3505,48.5268,83.77,61,26,23.2
88,Usinsk,RU,2022-07-12 07:33:02,65.9939,57.5281,82.54,33,82,8.12
89,Lompoc,US,2022-07-12 07:32:29,34.6391,-120.4579,59.02,95,100,1.01
90,Kuryk,KZ,2022-07-12 07:33:03,43.2,51.65,93.31,24,0,12.37
91,Pailitas,CO,2022-07-12 07:33:03,8.9565,-73.6255,73.42,89,84,2.71
92,Muli,MV,2022-07-12 07:33:04,2.9167,73.5667,81.68,67,100,3.24
93,Bilibino,RU,2022-07-12 07:34:04,68.0546,166.4372,73.63,67,83,3.96
94,Wajima,JP,2022-07-12 07:34:05,37.4,136.9,84.88,78,75,5.75
95,San Patricio,US,2022-07-12 07:34:05,28.017,-97.5169,84.88,83,4,10.83
96,Camacupa,AO,2022-07-12 07:34:05,-12.0167,17.4833,63.84,36,3,6.29
97,Otjimbingwe,NA,2022-07-12 07:34:06,-22.35,16.1333,67.32,29,0,10.09
98,Kijang,KR,2022-07-12 07:34:06,35.2442,129.2139,82.13,77,100,12.82
99,Hanmer Springs,NZ,2022-07-12 07:34:07,-42.5167,172.8167,43.34,98,100,4.16
100,Arraial Do Cabo,BR,2022-07-12 07:31:18,-22.9661,-42.0278,69.15,91,8,20.11
101,Lavumisa,SZ,2022-07-12 07:34:07,-27.31,31.892,66.6,73,100,2.91
102,Saint George,US,2022-07-12 07:32:03,37.1041,-113.5841,93.79,25,0,3.44
103,Ancud,CL,2022-07-12 07:34:08,-41.8697,-73.8203,42.22,76,51,12.19
104,Puerto Ayora,EC,2022-07-12 07:34:08,-0.7393,-90.3518,69.55,93,96,4.0
105,Linfen,CN,2022-07-12 07:34:08,36.0889,111.5189,82.24,61,98,4.65
106,Hermanus,ZA,2022-07-12 07:34:09,-34.4187,19.2345,57.79,72,0,6.26
107,Bethel,US,2022-07-12 07:34:09,41.3712,-73.414,70.16,77,0,9.22
108,Jimma,ET,2022-07-12 07:34:10,7.6667,36.8333,61.41,95,100,0.87
109,Maragogi,BR,2022-07-12 07:34:10,-9.0122,-35.2225,72.5,88,91,1.57
110,Moree,AU,2022-07-12 07:34:11,-29.4667,149.85,53.65,62,100,8.03
111,Hithadhoo,MV,2022-07-12 07:34:11,-0.6,73.0833,82.51,74,41,7.94
112,Ngunguru,NZ,2022-07-12 07:34:12,-35.6167,174.5,56.28,77,0,15.39
113,Lebu,CL,2022-07-12 07:34:12,-37.6167,-73.65,48.42,90,100,22.97
114,Lishu,CN,2022-07-12 07:34:12,43.3047,124.3278,84.52,67,53,6.76
115,Sitka,US,2022-07-12 07:31:18,57.0531,-135.33,53.49,87,75,3.44
116,Thompson,CA,2022-07-12 07:34:13,55.7435,-97.8558,50.16,93,75,2.3
117,Yar-Sale,RU,2022-07-12 07:34:13,66.8333,70.8333,61.02,46,100,5.01
118,La Ronge,CA,2022-07-12 07:30:07,55.1001,-105.2842,57.45,94,40,3.44
119,Guerrero Negro,MX,2022-07-12 07:34:14,27.9769,-114.0611,66.24,87,100,11.23
120,Staryy Nadym,RU,2022-07-12 07:34:15,65.6118,72.6842,65.07,38,98,11.48
121,Lata,PT,2022-07-12 07:34:15,40.1629,-8.3327,85.5,41,84,5.82
122,Hualmay,PE,2022-07-12 07:34:16,-11.0964,-77.6139,59.65,85,25,5.95
