City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
231,Baicheng,CN,75.76,overcast clouds,45.6167,122.8167,Baicheng Didiao Inn
232,Laguna,US,76.08,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
240,Mangrol,IN,81.21,moderate rain,21.1167,70.1167,Hotel The Royal Honours
241,Faanui,PF,77.41,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
244,Manaus,BR,79.29,clear sky,-3.1019,-60.025,Manaus Hotéis Millennium
249,Kalemie,CD,77.18,few clouds,-5.9475,29.1947,Mahobilali
253,Ambilobe,MG,84.15,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
261,Kropotkin,RU,77.13,clear sky,45.4375,40.5756,Hotel Europe Kropotkin
267,Van Buren,US,83.19,clear sky,35.4368,-94.3483,Hampton Inn Van Buren
268,Camargo,MX,80.04,clear sky,27.6667,-105.1667,Hotel Santa Fe
271,Road Town,VG,80.69,clear sky,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
273,Bacalar,MX,76.5,overcast clouds,18.6667,-88.3833,Hotel Laguna Bacalar
279,Dickinson,US,80.98,scattered clouds,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
281,San Patricio,US,84.83,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
282,Cayenne,GF,77.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
283,Tangier,MA,76.35,clear sky,35.7806,-5.8137,Hotel Rembrandt
294,Celestun,MX,77.81,clear sky,20.8667,-90.4,Posada Lilia
303,Katsuura,JP,77.02,moderate rain,35.1333,140.3,Katsuura Hotel Mikazuki
305,Lamesa,US,75.52,scattered clouds,32.7376,-101.951,Shiloh Inn Lamesa
315,Banjar,ID,80.62,broken clouds,-8.19,114.9675,The Hamsa Resort
325,Makakilo City,US,79.12,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
333,Ajdabiya,LY,79.05,clear sky,30.7554,20.2263,Almadina Hotel
336,Tecoanapa,MX,75.22,overcast clouds,16.5167,-98.75,Hotel Manglares
339,Porto Novo,BJ,76.82,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
342,Iowa City,US,75.25,broken clouds,41.6611,-91.5302,Heartland Inn
348,Anse-Bertrand,GP,76.82,clear sky,16.4721,-61.5078,Le Domharry
356,Soure,BR,77.16,clear sky,-0.7167,-48.5233,Casarão da Amazônia
359,Mitsamiouli,KM,80.89,few clouds,-11.3847,43.2844,Foyer ADM
360,Manado,ID,81.37,light rain,1.487,124.8455,Aryaduta Hotel
364,Barcelos,PT,76.91,clear sky,41.5388,-8.6151,Hotel Restaurante Bagoeira
365,Shingu,JP,82.85,clear sky,33.7333,135.9833,Shingu UI Hotel
368,New Iberia,US,78.8,light rain,30.0035,-91.8187,La Quinta Inn & Suites by Wyndham New Iberia
372,La Romana,DO,77.5,few clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
374,Sidi Ali,DZ,77.58,clear sky,36.0998,0.4206,Complexe touristique haje bezine
377,Lahaina,US,78.8,few clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
379,Qorveh,IR,83.7,clear sky,35.1664,47.8045,بانک مهر ایران
384,Dali,CN,82.51,broken clouds,25.7,100.1833,Dali Travelling With Hostel
388,Netivot,IL,81.61,scattered clouds,31.4222,34.5886,"'בית החסד - מוסדות מאורות נתן' - מיסודו של הרב נתן בוקובזה זצוק""ל"
396,Kirakira,SB,79.03,broken clouds,-10.4544,161.9205,SanBiz Lodge
398,Boa Vista,BR,76.98,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
400,Batagay,RU,81.32,clear sky,67.6333,134.6333,Gostinitsa Ki'ileekh
401,Tela,HN,75.51,overcast clouds,15.7833,-87.45,Hotel & Restaurante Cesar Mariscos
404,Dongsheng,CN,83.16,overcast clouds,39.8161,109.9776,Crowne Plaza Ordos
405,Meadow Lake,US,83.16,scattered clouds,34.8014,-106.5436,TumbleWeed RV Park
412,Saraland,US,76.3,overcast clouds,30.8207,-88.0706,Microtel Inn & Suites by Wyndham Saraland/North Mobile
417,Birnin Kebbi,NG,80.24,broken clouds,12.4539,4.1975,Saffar Guest Inn Ltd
424,Puerto Madero,MX,75.4,overcast clouds,14.7208,-92.4215,DEPARTAMENTOS LA ESTANCIA
425,Vvedenka,UA,76.15,clear sky,49.8244,36.5075,Пудж дом
426,Marsh Harbour,BS,82.11,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
429,Bolnisi,GE,80.19,clear sky,41.4479,44.5384,Hotel Deutsche Muehle Bolnisi
434,Kahului,US,78.82,few clouds,20.8947,-156.47,Maui Seaside Hotel
436,Vikarabad,IN,76.23,overcast clouds,17.3333,77.9,Hills & Valley Adventure Resort
437,Muli,MV,83.71,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
440,Praia,CV,75.74,broken clouds,14.9215,-23.5087,LT Aparthotel
442,Banepa,NP,82.72,scattered clouds,27.6298,85.5214,Dhulikhel Lodge Resort
447,Morgan City,US,77.0,overcast clouds,29.6994,-91.2068,Hampton Inn & Suites Morgan City
457,Kloulklubed,PW,81.1,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
459,Dabhol,IN,77.92,overcast clouds,17.6,73.1667,Ashwamedh Resort
460,Kabinda,CD,81.19,few clouds,-6.1333,24.4833,Village Mianda Mutole
462,Liaozhong,CN,79.16,few clouds,41.5061,122.7242,Bishuiwan Hotel
463,Kismayo,SO,78.87,broken clouds,-0.3582,42.5454,Agan-Hotel
466,Takoradi,GH,75.27,light rain,4.8845,-1.7554,Raybow International Hotel
471,Mantua,IT,82.09,clear sky,45.1667,10.7833,Hotel la Favorita
473,Jackson,US,76.87,clear sky,42.4165,-122.8345,Agate Village Apartments
474,Alexandria,EG,80.56,scattered clouds,31.2156,29.9553,Royal Crown Hotel
479,Trairi,BR,75.11,scattered clouds,-3.2778,-39.2689,janelas do mar
482,Kavaratti,IN,82.31,overcast clouds,10.5669,72.642,Green leaf
483,Shache,CN,83.05,overcast clouds,38.4167,77.2406,Delong Hotel
484,Ust-Nera,RU,80.1,overcast clouds,64.5667,143.2,Hotel Ust-Nera
497,Djibo,BF,84.31,clear sky,14.1022,-1.6306,Centre Des Ressources DPENA
499,Hobyo,SO,83.03,broken clouds,5.3505,48.5268,Iftin hotel hobyo
504,Shimoda,JP,75.56,heavy intensity rain,34.6667,138.95,Shimoda Tokyu Hotel
505,Istanbul,TR,78.22,few clouds,41.0351,28.9833,The Marmara Taksim
521,Cartagena,CO,80.22,few clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
525,Ambon,ID,82.54,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
528,Hun,LY,75.61,clear sky,29.1268,15.9477,Alrwasi Hotel
533,Pensacola,US,77.86,light rain,30.4213,-87.2169,Days Inn by Wyndham Pensacola - Historic Downtown
537,Douglas,US,84.74,clear sky,41.3,-96.167,Hilton Garden Inn Omaha West
542,Wajir,KE,78.76,broken clouds,1.7471,40.0573,Mahatallah Hotel
548,Bac Lieu,VN,84.74,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
549,Jalu,LY,80.35,clear sky,29.0331,21.5482,صاحبة الفخامة
558,Buchanan,LR,75.02,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
559,Tateyama,JP,77.09,mist,34.9833,139.8667,Tateyama Seaside Hotel
561,Acarau,BR,75.45,scattered clouds,-2.8856,-40.12,castelo pizzaria
564,Saint Anthony,US,75.18,overcast clouds,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
569,Namatanai,PG,81.9,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
570,Durusu,TR,78.98,clear sky,41.3053,28.6767,Durusu Talebe Yurdu
579,Havelock,US,80.96,thunderstorm,34.8791,-76.9013,Sherwood Motel
